External ID,Product_ID,Product_Name,Label_Product_Name,Presentation,Volume_Liters,Pack_quantity_Units,Type_of_product,Category,Generic product type,SubIndustry,Industry, Bottle , Label ,Liquid, Microfibers , Plastic bag , Labor , Shipping , Other costs , Unit_cost_SAR 
product_template_286,FP-FAI-00100,WAYAKIT GreenTech Faith general purpose cleaner [700 mL],general purpose cleaner,700 mL,0.7,0,I1-General purpose cleaner,Faith - 1. General purpose cleaners,General purpose cleaner,Faith,Facilities management,1.5,1.21,0.931,0,0,1,,,4.641
product_template_287,FP-FAI-00101,WAYAKIT GreenTech Faith general purpose cleaner [4 L],general purpose cleaner,4 L,4,0,I1-General purpose cleaner,Faith - 1. General purpose cleaners,General purpose cleaner,Faith,Facilities management,4,4.84,5.32,0,0,1,,,15.16
product_template_288,FP-FAI-00102,WAYAKIT GreenTech Faith general purpose cleaner [20 L],general purpose cleaner,20 L,20,0,I1-General purpose cleaner,Faith - 1. General purpose cleaners,General purpose cleaner,Faith,Facilities management,8,4.84,26.6,0,0,1,,,40.44
product_template_434,FP-FAI-00103,WAYAKIT GreenTech Faith general purpose cleaner [Box of 12 units 700 mL],general purpose cleaner,Box of 12 units 700 mL,8.4,0,I1-General purpose cleaner,Faith - 1. General purpose cleaners,General purpose cleaner,Faith,Facilities management,18,14.52,11.172,0,0,12,,,55.692
product_template_289,FP-FAI-00200,WAYAKIT GreenTech Faith wood furniture cleaner [700 mL],wood furniture cleaner,700 mL,0.7,0,I1-Wood furniture cleaner,Faith - 1. General purpose cleaners,Furniture polish,Faith,Facilities management,1.5,1.21,7.77945,0,0,1,,,11.48945
product_template_290,FP-FAI-00201,WAYAKIT GreenTech Faith wood furniture cleaner [4 L],wood furniture cleaner,4 L,4,0,I1-Wood furniture cleaner,Faith - 1. General purpose cleaners,Furniture polish,Faith,Facilities management,4,4.84,44.454,0,0,1,,,54.294
product_template_291,FP-FAI-00202,WAYAKIT GreenTech Faith wood furniture cleaner [20 L],wood furniture cleaner,20 L,20,0,I1-Wood furniture cleaner,Faith - 1. General purpose cleaners,Furniture polish,Faith,Facilities management,8,4.84,222.27,0,0,1,,,236.11
product_template_435,FP-FAI-00203,WAYAKIT GreenTech Faith wood furniture cleaner [Box of 12 units 700 mL],wood furniture cleaner,Box of 12 units 700 mL,8.4,0,I1-Wood furniture cleaner,Faith - 1. General purpose cleaners,Furniture polish,Faith,Facilities management,18,14.52,93.3534,0,0,12,,,137.8734
product_template_292,FP-FAI-00300,WAYAKIT GreenTech Faith general hard floor cleaner [700 mL],general hard floor cleaner,700 mL,0.7,0,I2-General hard floor cleaner,Faith - 2. Floor care products,Floor cleaner,Faith,Facilities management,1.5,1.21,7.77945,0,0,1,,,11.48945
product_template_293,FP-FAI-00301,WAYAKIT GreenTech Faith general hard floor cleaner [4 L],general hard floor cleaner,4 L,4,0,I2-General hard floor cleaner,Faith - 2. Floor care products,Floor cleaner,Faith,Facilities management,4,4.84,44.454,0,0,1,,,54.294
